"species","Nhorm","Nnocon","LifeExpHormMean","LifeExpHormSE","LifeExpHormLower","LifeExpHormUpper","LifeExpNocontMean","LifeExpNocontSE","LifeExpNocontLower","LifeExpNocontUpper","PropHazMean","PropHazSE","PropHazLower","PropHazUpper"
"Callithrix jacchus",141,1462,6.71148041656366,0.727842383699099,5.39834370045089,8.25671617776426,7.18525630073591,0.225396940272972,6.76953711716464,7.64425869988747,0.0992866284445753,0.153395165410612,-0.204714525309471,0.387530292336698
"Pithecia pithecia",48,251,21.8065427054602,8.26047996910276,11.7418613795513,43.0540379215776,12.1635048589845,2.43343226074265,8.82921059226022,17.5212205874461,-0.76743035254686,0.370926462096519,-1.53374113910893,-0.0949880558395002
"Varecia variegata",74,496,14.9858515682471,2.12153210502645,11.9300546891824,19.7277008754496,13.8790775859132,1.21067146130875,12.3103906819409,16.8820412232045,-0.199438643560231,0.305787804075793,-0.825843201218727,0.369658897998084
"Lemur catta",305,3131,20.7213824059098,6.52155458044049,14.4427005221187,38.3727500054141,15.482812367475,2.91110416225386,12.5984041996438,23.0337424864927,-0.571198313672515,0.180833769874929,-0.926564499206105,-0.224022429829071
"Aonyx cinereus",82,1412,12.539671883785,1.25260041248154,10.2966413958594,15.2625017618703,9.11078617211913,0.29396229151064,8.57142190191612,9.72843578908801,-0.671963539966861,0.234789598769306,-1.13828113191346,-0.226340342614089
"Giraffa camelopardalis",106,1453,18.5729751428197,5.42477904376126,11.8469758646727,33.3876263119424,16.7400058078111,3.47911917932993,12.2528965451057,25.5376018010317,-0.164538451931489,0.272565691502395,-0.717267881524611,0.353236570419869
"Suricata suricatta",196,4023,9.45652558988587,0.518438244072919,8.46942259733918,10.5109419496908,7.90666701100898,0.120060425267043,7.67746061793267,8.14675818685566,-0.400329094357116,0.135476757903163,-0.668992461585208,-0.142371499804931
"Macaca silenus",42,215,27.67556174325,12.5825408763807,13.9312849827357,60.7664907641335,23.3002050017257,8.14083259050899,13.9543822501115,43.9715834192223,-0.316766366180056,0.493639733790877,-1.35306126858508,0.606356299020397
"Callimico goeldii",34,394,9.61954163357017,1.81363887765299,6.54058448394653,13.5248472947018,9.68397400159555,0.615956185275322,8.70763923804377,11.1251435567833,0.0196269943806417,0.301213356203011,-0.60074444826433,0.583746647977198
"Macaca fuscata",59,370,40.3495575092979,15.3112367971594,20.7840431728346,79.887994267763,43.5700397117901,11.0594072252361,27.7505276313495,68.8237561994288,0.137466387803417,0.424803211693643,-0.722616021246625,0.927785352506036
"Leontopithecus chrysomelas",48,299,11.8568623340959,2.31317486015115,8.61347764306183,17.0936786895596,9.63776707833621,0.920653745153085,8.40077533965932,12.092052100221,-0.382055336265152,0.309474471228687,-1.00967711042808,0.208435824956192
"Panthera leo",327,1986,16.4169874492566,1.10594152429396,14.5329273091647,18.8475328472577,13.3027334251462,0.429067961167482,12.5589316450375,14.2390848974716,-0.663408263583819,0.19189408207978,-1.0485595080985,-0.296732039888673
"Canis lupus",120,2606,8.56211447724941,0.854536005190972,7.00294295168248,10.339286283367,9.02390637429104,0.177286526716562,8.68175315173954,9.37917918450767,0.113202766919779,0.211748477822381,-0.326571317939742,0.505606882686193
"Papio hamadryas",144,1031,23.4212288059275,6.52154564413134,16.3597059126834,42.458812334641,15.892691755262,2.50041401982847,13.0483404750263,23.5284907085237,-0.762596576651885,0.289242519752802,-1.34676962688544,-0.210057762941167
"Colobus guereza",72,375,33.181884780604,13.314991161784,15.6808788842611,63.0595919198922,11.057414658432,1.78202795862988,8.31694174988997,15.069625138956,-1.79975955646032,0.482348653663518,-2.83396758994192,-0.928996735521374
"Pan troglodytes",139,351,35.9320023476292,2.18090259701147,31.4405825575203,40.0401367042487,31.0786415280977,2.10784253696838,27.2323051923606,35.4794544631888,-0.690037880673799,0.446659364619369,-1.58976519073453,0.16114516867421
"Alouatta caraya",46,116,21.5644357716335,10.9875811765258,12.3321972893507,55.1678204809148,15.8157790047878,5.58060179549716,10.5118268821989,31.8351761761865,-0.71367437124138,0.491116028135469,-1.7230755314638,0.200508365900199
"Lycaon pictus",70,627,6.80437626556271,0.721657850341561,5.48119648410556,8.31214057680374,6.33607071714592,0.23304620838621,5.88845698787085,6.80554652145115,-0.16944951955855,0.271287668261835,-0.713163515480926,0.341049620728376
"Macaca sylvanus",168,379,18.0273677921883,3.63672041109262,13.2822522772069,27.2731553027372,13.5637975169503,2.01901786797059,10.734095285081,18.6066183527037,-0.421952964079767,0.206191755942759,-0.833426478931043,-0.0291820734967776
"Leontopithecus rosalia",100,253,11.4051185415091,1.89440287860039,9.0326455272474,16.5533320549088,8.93365505102522,0.956464715946564,7.61683695055215,11.5664671246662,-0.44771240569772,0.228573372575575,-0.902024435098147,-0.0118689700402065
"Saimiri sciureus",48,1271,13.4803269149689,2.05726724474461,9.75732898601193,17.845859827738,10.9494153552925,0.370963789980771,10.275854010417,11.7360638178709,-0.42335520592462,0.341007330537617,-1.1447338222199,0.203156705998186
"Saguinus imperator",59,548,8.42189614301901,1.13349969317534,6.49180578604187,10.9499646953974,7.32779856481078,0.390945237500646,6.6568051436014,8.16744832795447,-0.208479017604665,0.214607205100798,-0.651220325641695,0.200318139025149
"Pongo pygmaeus",46,244,55.633753661368,28.2469642140126,22.7352221589367,131.57746410253,70.0401322464725,32.6845320762634,29.6705019540902,147.964728910034,0.499147436437769,0.609659151026248,-0.725547249800434,1.63581562793532
"Callithrix geoffroyi",50,473,5.7806825071756,0.92880874514098,4.19658326223384,7.88484674086662,7.08026831358344,0.560731470885625,6.18078484221892,8.35385070669203,0.247288570547268,0.189921776145137,-0.125304563159883,0.610272765616477
"Panthera tigris",97,1669,14.4344321781439,1.32647300549827,12.1001293527923,17.3304836599508,12.3173182865888,0.402143010108775,11.6378371667884,13.2163267552618,-0.508981016013019,0.307784578379713,-1.15094038148268,0.0580653919888484
"Gorilla gorilla",93,123,25.226951520359,13.2492204840928,9.71281731110694,56.1378251045192,19.0213862443806,10.148803252273,8.08675606449709,45.8558257806819,-0.749387463590932,0.616954411200513,-1.94099804154355,0.453943244861735
"Octodon degus",85,477,5.53497924027377,0.441304461825309,4.72349796395675,6.46448441171546,4.50202252080106,0.174243154521078,4.1573542106265,4.83707816677343,-0.390295217715404,0.170772776475263,-0.7430907356806,-0.0667338425993559
"Potamochoerus porcus",38,604,8.76036910525721,0.918858713612277,7.10732201274378,10.6734606609884,8.5891949821036,0.366814833953644,7.92437497598727,9.33949632359515,-0.0504281582227376,0.265816819599079,-0.598361650104358,0.436833140617222
"Lynx lynx",36,602,13.305488513042,2.51458543289841,9.29506230315121,18.8025247640815,14.2832686353883,1.63391010808767,12.4861174573289,18.0109997593159,0.168527778731203,0.420833282592018,-0.714671580101182,0.919200473210702
"Saguinus bicolor",44,133,15.718652621809,4.54549352239179,10.2223496081001,27.8878114057212,9.58784896790265,1.52883406220587,7.37364367271805,13.3101932722446,-0.770488134049529,0.351440994647856,-1.47261217228135,-0.110819582318804
"Cebuella pygmaea",35,1073,7.59215177678496,1.29265935999332,5.40568000453378,10.4717927677967,6.44642556910685,0.225326742022561,6.03275119427476,6.90650321786434,-0.221849516914882,0.249812160785676,-0.737255080077185,0.246243548007454
"Sapajus xanthosternos",37,55,26.6160676721784,10.9779915920608,12.7737980268906,54.238225777761,21.3982675964735,7.82931666268602,11.6281007520767,41.0958977343794,-0.375973536381986,0.519728358747529,-1.40771827868125,0.613398838268954
"Mustela putorius",38,870,4.38675403506222,0.453460518887704,3.57874493272644,5.33910267415031,5.37597066064303,0.112865338097503,5.1629126639677,5.60229069712734,0.456885450955467,0.218962105346261,-0.00514212784601994,0.860102141203749
"Tapirus terrestris",35,308,16.0307306054471,5.16500174146906,10.4685601955608,28.575836404494,14.4941391839822,2.7936479362429,11.4567012726105,22.5875835694885,-0.211997098760162,0.420880031317836,-1.08064823783828,0.573239179012006
"Trachypithecus cristatus",30,36,19.5181966893383,8.81410625228682,9.18142848484235,43.1284311463884,14.0260045359321,4.84276712153991,7.89064582157963,26.1565917963402,-0.407885536985948,0.526050955853932,-1.45435082125303,0.574465963276104
"Macaca fascicularis",111,755,26.2774659380407,8.74546025726437,16.3876704422873,50.2566645390399,39.5996815148676,14.3191716224698,27.5957910040912,77.2105422043693,0.738634491278584,0.306165858989428,0.110456825390601,1.31298033321377
"Varecia rubra",70,352,30.4484560976906,12.4471107599252,16.3110924375861,63.3271610247326,21.8677338510859,5.64480800991912,14.4158046326266,35.3410535839188,-0.563732520409672,0.390209851948717,-1.37641313471022,0.1556793994137
"Pteropus rodricensis",102,666,13.9586502418303,3.04728938938046,9.95177061804813,21.639492780913,9.38785255710194,0.98702702308707,7.95046348364876,11.5732528565371,-0.562126275212902,0.213618366266801,-0.983652050796044,-0.15233837712532
"Saguinus oedipus",125,1144,10.592822451975,1.21961426037419,8.32584561003703,13.1526579663483,7.88232105951607,0.187365761467237,7.51297923574595,8.25101521929306,-0.46316181718011,0.203031257979893,-0.877458635711585,-0.0850917696943501
"Symphalangus syndactylus",33,106,33.004858376539,21.4790257117005,12.5249972868966,95.7510562677609,24.0733266704834,10.66370945288,12.2803517922844,51.760855594998,-0.511292468037005,0.699185286163184,-1.91917848696803,0.80255261936556
"Ailurus fulgens",55,763,8.85072517197027,0.960279558842648,7.14232837544108,10.8907969287239,9.98406863917544,0.400405993172054,9.28929179965493,10.8403903371806,0.255350715805155,0.233446717211784,-0.221119594560777,0.695330530516142
"Phacochoerus africanus",40,373,9.59427927016042,0.945488146152087,7.88596967605393,11.4760752964943,8.50509775476734,0.490702302894347,7.68430153584412,9.52280441309088,-0.354841345745432,0.321497446666068,-1.01768342161845,0.245936867126984
"Hydrochoerus hydrochaeris",33,2032,5.42594632453712,0.614412563742673,4.26456543017365,6.69432694995143,5.61698605180063,0.126805483940159,5.372010037202,5.87042098009077,0.076209755665463,0.245810560866165,-0.420226524125707,0.533951866016519
"Petrogale xanthopus",35,650,6.53314835805448,0.703300099938844,5.18760304097767,7.97470343613433,6.79965814894447,0.277734543201873,6.26351416729117,7.34683337840894,0.0991658703808198,0.270613840643268,-0.44562355778493,0.608224880363789
"Nasua nasua",33,1415,10.2810200944846,0.974859867322082,8.49966014230743,12.2967152517031,9.07468969917682,0.187335306695871,8.70556003628051,9.44448916044732,-0.331855506220524,0.271636585419829,-0.883409671348202,0.163067267277451
