zims.species,vertlife.species,order,Note
Acinonyx jubatus,Acinonyx jubatus,Carnivora,NA
Addax nasomaculatus,Addax nasomaculatus,Artiodactyla,NA
Aepyceros melampus,Aepyceros melampus,Artiodactyla,NA
Ailurus fulgens,Ailurus fulgens,Carnivora,NA
Alouatta caraya,Alouatta caraya,Primates,NA
Ammotragus lervia,Ammotragus lervia,Artiodactyla,NA
Antidorcas marsupialis,Antidorcas marsupialis,Artiodactyla,NA
Antilope cervicapra,Antilope cervicapra,Artiodactyla,NA
Aonyx cinereus,Aonyx cinerea,Carnivora,NA
Arctictis binturong,Arctictis binturong,Carnivora,NA
Artibeus jamaicensis,Artibeus jamaicensis,Chiroptera,NA
Ateles fusciceps,Ateles fusciceps,Primates,NA
Ateles geoffroyi,Ateles geoffroyi,Primates,NA
Axis axis,Axis axis,Artiodactyla,NA
Bison bison,Bison bison,Artiodactyla,NA
Bos grunniens,Bos grunniens,Artiodactyla,NA
Bos javanicus,Bos javanicus,Artiodactyla,NA
Bos taurus,Bos taurus,Artiodactyla,NA
Boselaphus tragocamelus,Boselaphus tragocamelus,Artiodactyla,NA
Bubalus bubalis,Bubalus arnee,Artiodactyla,Replaced with wild ancestor (B. arnee is wild ancestor of B. bubalis)
Callimico goeldii,Callimico goeldii,Primates,NA
Callithrix geoffroyi,Callithrix geoffroyi,Primates,NA
Callithrix jacchus,Callithrix jacchus,Primates,NA
Camelus bactrianus,Camelus bactrianus,Artiodactyla,NA
Camelus dromedarius,Camelus dromedarius,Artiodactyla,NA
Canis latrans,Canis latrans,Carnivora,NA
Canis lupus,Canis lupus,Carnivora,NA
Capra aegagrus,Capra aegagrus,Artiodactyla,NA
Capra falconeri,Capra falconeri,Artiodactyla,NA
Capra hircus,Capra hircus,Artiodactyla,NA
Capra nubiana,Capra nubiana,Artiodactyla,NA
Carollia perspicillata,Carollia perspicillata,Chiroptera,NA
Cavia porcellus,Cavia porcellus,Rodentia,NA
Cebuella pygmaea,Cebuella pygmaea,Primates,NA
Cebus capucinus,Cebus capucinus,Primates,NA
Cercopithecus neglectus,Cercopithecus neglectus,Primates,NA
Cervus canadensis,Cervus elaphus,Artiodactyla,synonym
Cervus elaphus,Cervus elaphus,Artiodactyla,NA
Cervus nippon,Cervus nippon,Artiodactyla,NA
Chinchilla lanigera,Chinchilla lanigera,Rodentia,NA
Chlorocebus aethiops,Chlorocebus aethiops,Primates,NA
Chrysocyon brachyurus,Chrysocyon brachyurus,Carnivora,NA
Colobus angolensis,Colobus angolensis,Primates,NA
Colobus guereza,Colobus guereza,Primates,NA
Connochaetes taurinus,Connochaetes taurinus,Artiodactyla,NA
Crocuta crocuta,Crocuta crocuta,Carnivora,NA
Cynomys ludovicianus,Cynomys ludovicianus,Rodentia,NA
Dama dama,Dama dama,Artiodactyla,NA
Damaliscus pygargus,Damaliscus pygargus,Artiodactyla,NA
Desmodus rotundus,Desmodus rotundus,Chiroptera,NA
Didelphis virginiana,Didelphis virginiana,Didelphimorphia,NA
Dolichotis patagonum,Dolichotis patagonum,Rodentia,NA
Eidolon helvum,Eidolon helvum,Chiroptera,NA
Equus asinus,Equus africanus,Perissodactyla,Replaced with wild ancestor
Equus caballus,Equus caballus,Perissodactyla,NA
Equus hemionus,Equus hemionus,Perissodactyla,NA
Equus quagga,Equus quagga,Perissodactyla,NA
Erythrocebus patas,Erythrocebus patas,Primates,NA
Eudorcas thomsonii,Eudorcas thomsonii,Artiodactyla,NA
Eulemur coronatus,Eulemur coronatus,Primates,NA
Eulemur macaco,Eulemur macaco,Primates,NA
Eulemur rubriventer,Eulemur rubriventer,Primates,NA
Felis catus,Felis catus,Carnivora,NA
Giraffa camelopardalis,Giraffa camelopardalis,Artiodactyla,NA
Gorilla gorilla,Gorilla gorilla,Primates,NA
Hemitragus jemlahicus,Hemitragus jemlahicus,Artiodactyla,NA
Hippopotamus amphibius,Hippopotamus amphibius,Artiodactyla,NA
Hippotragus niger,Hippotragus niger,Artiodactyla,NA
Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,Rodentia,NA
Hylobates lar,Hylobates lar,Primates,NA
Hystrix indica,Hystrix indica,Rodentia,NA
Kobus ellipsiprymnus,Kobus ellipsiprymnus,Artiodactyla,NA
Kobus leche,Kobus leche,Artiodactyla,NA
Kobus megaceros,Kobus megaceros,Artiodactyla,NA
Lama glama,Lama glama,Artiodactyla,NA
Lama guanicoe,Lama guanicoe,Artiodactyla,NA
Lemur catta,Lemur catta,Primates,NA
Leontopithecus chrysomelas,Leontopithecus chrysomelas,Primates,NA
Leontopithecus rosalia,Leontopithecus rosalia,Primates,NA
Leptailurus serval,Leptailurus serval,Carnivora,NA
Lycaon pictus,Lycaon pictus,Carnivora,NA
Lynx lynx,Lynx lynx,Carnivora,NA
Lynx rufus,Lynx rufus,Carnivora,NA
Macaca fascicularis,Macaca fascicularis,Primates,NA
Macaca fuscata,Macaca fuscata,Primates,NA
Macaca leonina,Macaca leonina,Primates,NA
Macaca mulatta,Macaca mulatta,Primates,NA
Macaca nemestrina,Macaca nemestrina,Primates,NA
Macaca nigra,Macaca nigra,Primates,NA
Macaca silenus,Macaca silenus,Primates,NA
Macaca sylvanus,Macaca sylvanus,Primates,NA
Macaca tonkeana,Macaca tonkeana,Primates,NA
Macropus eugenii,Macropus eugenii,Diprotodontia,NA
Macropus fuliginosus,Macropus fuliginosus,Diprotodontia,NA
Macropus giganteus,Macropus giganteus,Diprotodontia,NA
Macropus parma,Macropus parma,Diprotodontia,NA
Macropus robustus,Macropus robustus,Diprotodontia,NA
Macropus rufogriseus,Macropus rufogriseus,Diprotodontia,NA
Macropus rufus,Macropus rufus,Diprotodontia,NA
Mephitis mephitis,Mephitis mephitis,Carnivora,NA
Mungos mungo,Mungos mungo,Carnivora,NA
Muntiacus reevesi,Muntiacus reevesi,Artiodactyla,NA
Mustela nigripes,Mustela nigripes,Carnivora,NA
Mustela putorius,Mustela putorius,Carnivora,NA
Myocastor coypus,Myocastor coypus,Rodentia,NA
Nasua narica,Nasua narica,Carnivora,NA
Nasua nasua,Nasua nasua,Carnivora,NA
Neofelis nebulosa,Neofelis nebulosa,Carnivora,NA
Nyctereutes procyonoides,Nyctereutes procyonoides,Carnivora,NA
Octodon degus,Octodon degus,Rodentia,NA
Odocoileus virginianus,Odocoileus virginianus,Artiodactyla,NA
Oryctolagus cuniculus,Oryctolagus cuniculus,Lagomorpha,NA
Oryx dammah,Oryx dammah,Artiodactyla,NA
Oryx gazella,Oryx gazella,Artiodactyla,NA
Ovis aries,Ovis aries,Artiodactyla,NA
Ovis canadensis,Ovis canadensis,Artiodactyla,NA
Pan paniscus,Pan paniscus,Primates,NA
Pan troglodytes,Pan troglodytes,Primates,NA
Panthera leo,Panthera leo,Carnivora,NA
Panthera onca,Panthera onca,Carnivora,NA
Panthera pardus,Panthera pardus,Carnivora,NA
Panthera tigris,Panthera tigris,Carnivora,NA
Panthera uncia,Panthera uncia,Carnivora,NA
Papio anubis,Papio anubis,Primates,NA
Papio hamadryas,Papio hamadryas,Primates,NA
Papio papio,Papio papio,Primates,NA
Pecari tajacu,Pecari tajacu,Artiodactyla,NA
Petaurus breviceps,Petaurus breviceps,Diprotodontia,NA
Petrogale xanthopus,Petrogale xanthopus,Diprotodontia,NA
Phacochoerus africanus,Phacochoerus africanus,Artiodactyla,NA
Phascolarctos cinereus,Phascolarctos cinereus,Diprotodontia,NA
Pithecia pithecia,Pithecia pithecia,Primates,NA
Pongo abelii,Pongo abelii,Primates,NA
Pongo pygmaeus,Pongo pygmaeus,Primates,NA
Potamochoerus porcus,Potamochoerus porcus,Artiodactyla,NA
Potos flavus,Potos flavus,Carnivora,NA
Procavia capensis,Procavia capensis,Hyracoidea,NA
Procyon lotor,Procyon lotor,Carnivora,NA
Propithecus coquereli,Propithecus coquereli,Primates,NA
Pseudocheirus peregrinus,Pseudocheirus peregrinus,Diprotodontia,NA
Pteropus rodricensis,Pteropus rodricensis,Chiroptera,NA
Puma concolor,Puma concolor,Carnivora,NA
Rangifer tarandus,Rangifer tarandus,Artiodactyla,NA
Rattus norvegicus,Rattus norvegicus,Rodentia,NA
Rousettus aegyptiacus,Rousettus aegyptiacus,Chiroptera,NA
Saguinus bicolor,Saguinus bicolor,Primates,NA
Saguinus imperator,Saguinus imperator,Primates,NA
Saguinus oedipus,Saguinus oedipus,Primates,NA
Saimiri boliviensis,Saimiri boliviensis,Primates,NA
Saimiri sciureus,Saimiri sciureus,Primates,NA
Sapajus apella,Sapajus apella,Primates,NA
Sapajus xanthosternos,Sapajus xanthosternos,Primates,NA
Suricata suricatta,Suricata suricatta,Carnivora,NA
Sus scrofa,Sus scrofa,Artiodactyla,NA
Symphalangus syndactylus,Symphalangus syndactylus,Primates,NA
Tapirus terrestris,Tapirus terrestris,Perissodactyla,NA
Theropithecus gelada,Theropithecus gelada,Primates,NA
Trachypithecus auratus,Trachypithecus auratus,Primates,NA
Trachypithecus cristatus,Trachypithecus cristatus,Primates,NA
Trachypithecus francoisi,Trachypithecus francoisi,Primates,NA
Tragelaphus angasii,Tragelaphus angasii,Artiodactyla,NA
Tragelaphus oryx,Tragelaphus oryx,Artiodactyla,NA
Tragelaphus strepsiceros,Tragelaphus strepsiceros,Artiodactyla,NA
Ursus americanus,Ursus americanus,Carnivora,NA
Ursus arctos,Ursus arctos,Carnivora,NA
Varecia rubra,Varecia rubra,Primates,NA
Varecia variegata,Varecia variegata,Primates,NA
Vicugna pacos,Vicugna pacos,Artiodactyla,NA
Vicugna vicugna,Vicugna vicugna,Artiodactyla,NA
Vulpes lagopus,Vulpes lagopus,Carnivora,NA
Vulpes vulpes,Vulpes vulpes,Carnivora,NA
Vulpes zerda,Vulpes zerda,Carnivora,NA
Wallabia bicolor,Wallabia bicolor,Diprotodontia,NA
Zalophus californianus,Zalophus californianus,Carnivora,NA