species,Female_None_Mean,Female_None_SE,Female_None_Lower,Female_None_Upper,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_None_Mean,Male_None_SE,Male_None_Lower,Male_None_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper,Female.None,Female.Hormonal,Female.Immunological,Female.Surgical,Female.Undetermined,Male.None,Male.Hormonal,Male.Immunological,Male.Surgical,Male.Undetermined
Eulemur coronatus,14.34538687,0.938573207,12.49350244,16.19644176,19.97084615,1.776673522,16.2567744,23.29191816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,38,0,0,1,0,0,0,0,0
Eulemur macaco,13.20962178,0.623268316,12.00130538,14.46852641,22.01087879,4.46215291,14.80568191,32.28392537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,36,0,10,13,0,0,0,0,0
Eulemur rubriventer,19.72973888,3.021873618,15.8665166,27.91086214,20.42946751,5.41386119,12.81790092,32.68594158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,31,0,1,6,0,0,0,0,0
Felis catus,12.77688568,0.329590667,12.1294119,13.43141089,NA,NA,NA,NA,NA,NA,NA,NA,16.02351208,0.867580106,14.40038828,17.78322193,NA,NA,NA,NA,9.529789134,0.44529884,8.656614147,10.40829641,NA,NA,NA,NA,NA,NA,NA,NA,13.37909367,0.955677006,11.55076572,15.33730648,14.86341677,2.042051816,11.07646932,19.16811643,1054,0,1,126,27,836,0,1,125,38
Giraffa camelopardalis,13.44688979,0.218269899,13.02950665,13.87944187,16.39353128,1.289762282,14.02540858,19.03283599,15.36644717,1.423234137,12.77186071,18.3293871,NA,NA,NA,NA,16.26958209,1.206161229,14.03241581,18.74095193,10.23436411,0.208634669,9.838127927,10.65684412,NA,NA,NA,NA,13.57291964,3.216398962,8.476098823,21.0355463,12.74865402,0.990136336,10.92231912,14.75648397,NA,NA,NA,NA,3225,141,105,0,54,3368,23,31,160,10
Gorilla gorilla,27.25436266,1.760331115,24.25118712,31.19404164,39.0093356,5.003177811,31.48939855,50.45930189,NA,NA,NA,NA,NA,NA,NA,NA,34.65198655,3.794715803,28.62152343,43.73895462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,188,0,3,86,0,0,0,0,0
Hemitragus jemlahicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.485316002,0.383500754,6.799848985,8.313786962,NA,NA,NA,NA,NA,NA,NA,NA,9.667102425,1.368932828,7.34661874,12.64015197,NA,NA,NA,NA,0,0,0,0,0,1109,0,0,46,7
Hippopotamus amphibius,33.94635272,2.289060717,30.53992262,39.16818621,55.36031516,16.29298365,32.66557445,94.44578201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,33,1,0,6,0,0,0,0,0
Hippotragus niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.086851293,0.381015516,7.37481707,8.87020005,NA,NA,NA,NA,NA,NA,NA,NA,8.263168969,1.649956349,5.593185097,12.04821091,NA,NA,NA,NA,0,0,0,0,0,2053,1,5,30,8
Hydrochoerus hydrochaeris,5.898313463,0.13136448,5.649562677,6.158659014,5.987091341,1.090358355,4.1893387,8.415354385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68919822,0.153288414,5.407070033,6.007550729,NA,NA,NA,NA,NA,NA,NA,NA,5.411853543,0.482747377,4.541567578,6.407178175,NA,NA,NA,NA,3831,33,0,4,7,3456,13,0,134,25
Hylobates lar,20.80785934,1.387959302,18.53168074,24.15739224,23.55974381,4.606267642,16.28528871,33.89033019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,58,2,15,13,0,0,0,0,0
Hystrix indica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.78650675,0.608458341,14.63160883,17.00862732,NA,NA,NA,NA,NA,NA,NA,NA,17.76654569,3.190301192,12.46396986,24.76257272,NA,NA,NA,NA,0,0,0,0,0,863,3,0,39,9
Kobus ellipsiprymnus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.120968372,0.355236427,8.44606704,9.82846374,NA,NA,NA,NA,NA,NA,NA,NA,13.38812882,1.00742336,11.59435643,15.54878897,NA,NA,NA,NA,0,0,0,0,0,2202,0,2,141,5
Kobus leche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.892982849,0.374422574,7.18614413,8.649452295,NA,NA,NA,NA,NA,NA,NA,NA,11.14495484,2.104489232,7.813550787,15.96341024,NA,NA,NA,NA,0,0,0,0,0,2201,0,0,82,29
Kobus megaceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.185535269,0.269296666,6.673965277,7.734229899,NA,NA,NA,NA,NA,NA,NA,NA,8.10845417,0.914804245,6.498610864,10.0095034,NA,NA,NA,NA,0,0,0,0,0,1139,6,0,65,12
Lama glama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.54799479,0.363625318,13.85553936,15.28509178,NA,NA,NA,NA,NA,NA,NA,NA,13.51282891,0.803434133,12.06697304,15.1636826,15.1796048,1.855905685,11.87078749,19.12081763,0,0,0,0,0,4493,0,0,217,35
Lama guanicoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.55112257,0.421436145,10.73954108,12.41202948,NA,NA,NA,NA,NA,NA,NA,NA,13.76014184,1.57702902,10.83356351,17.0005835,NA,NA,NA,NA,0,0,0,0,0,1484,0,0,71,12
Lemur catta,15.10501753,0.236411539,14.65118344,15.57032903,18.251295,1.082251644,16.23149728,20.46028172,NA,NA,NA,NA,14.69457786,1.689385151,11.64573207,18.23240282,15.23377807,1.369001306,12.68263842,18.11445767,16.79721924,0.307295356,16.22063419,17.42777695,14.6352862,3.782103839,8.697434309,23.14096862,NA,NA,NA,NA,17.98876824,1.109786385,15.96710081,20.21128187,16.15315645,2.891376368,11.37290686,22.50116467,5335,383,1,48,79,6379,46,0,404,30
Leontopithecus chrysomelas,7.87951493,0.293995203,7.326946105,8.473365083,10.99243495,1.175920334,8.818403267,13.5029623,NA,NA,NA,NA,NA,NA,NA,NA,8.608505876,1.019078097,6.726446565,10.72188435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,73,0,16,41,0,0,0,0,0
Leontopithecus rosalia,9.221888221,0.30133493,8.642210918,9.813519124,10.70472702,0.916178206,9.037860811,12.57994004,NA,NA,NA,NA,NA,NA,NA,NA,8.939351826,0.779867099,7.520006451,10.53146367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914,130,0,17,77,0,0,0,0,0
Leptailurus serval,12.62698946,0.428382011,11.81020995,13.48980273,NA,NA,NA,NA,NA,NA,NA,NA,13.47231804,1.87969146,10.15308295,17.41755715,NA,NA,NA,NA,12.11248276,0.3806544,11.38914209,12.88406924,NA,NA,NA,NA,NA,NA,NA,NA,14.04799255,1.278853371,11.73372602,16.68798576,NA,NA,NA,NA,1399,25,0,44,15,1441,5,0,71,6
Lycaon pictus,7.119583454,0.189952356,6.75718221,7.502504851,5.740810673,0.58791421,4.6991258,7.028932978,NA,NA,NA,NA,5.742179838,0.477213041,4.882205441,6.721272235,6.043725237,0.474688007,5.184340525,7.030955138,8.050758974,0.172603147,7.723028032,8.390949888,8.69961859,0.682296409,7.434883305,10.11231088,NA,NA,NA,NA,6.246736749,0.841419661,4.809379966,8.130418747,7.318801388,0.604232556,6.2220137,8.596322872,1474,84,1,94,82,1774,73,0,46,54
Lynx lynx,13.56197579,0.325475315,12.91979473,14.20273997,15.79733037,2.546825747,11.40366479,21.41691604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.06307738,0.314272369,13.45614332,14.69230202,NA,NA,NA,NA,NA,NA,NA,NA,12.27184354,0.906623571,10.60113236,14.09761019,NA,NA,NA,NA,1415,38,1,12,16,1349,17,1,61,14
Lynx rufus,15.82829356,0.374585836,15.09531308,16.55133906,NA,NA,NA,NA,NA,NA,NA,NA,17.11133017,1.003185781,15.21090117,19.13882377,NA,NA,NA,NA,14.09390149,0.36675248,13.36087607,14.78877785,NA,NA,NA,NA,NA,NA,NA,NA,16.78086101,0.788212288,15.30187491,18.37763723,NA,NA,NA,NA,828,3,0,54,6,784,1,0,94,10
Macaca fascicularis,21.54074406,0.764414882,20.18685881,23.1556858,19.34826838,2.712755688,14.4426081,25.17446178,NA,NA,NA,NA,22.47305541,2.429129659,18.10697625,27.75303776,NA,NA,NA,NA,13.48323583,0.804334166,12.09046027,15.2048694,NA,NA,NA,NA,NA,NA,NA,NA,15.3597145,3.056934877,10.51349125,22.87074859,NA,NA,NA,NA,1408,72,0,88,7,1008,2,0,93,4
Macaca fuscata,16.99736775,0.4311484,16.1577688,17.85817255,18.79401275,1.378837805,16.24431565,21.76527241,NA,NA,NA,NA,28.3107162,3.557428235,22.0006874,36.00520403,17.73360652,1.572601567,14.854576,20.90902475,13.80569744,0.49907741,12.87060273,14.83257948,NA,NA,NA,NA,NA,NA,NA,NA,17.75824643,1.58497439,14.92457192,21.22642583,17.4617439,3.037908239,12.25743969,24.04051607,1325,125,7,76,57,1315,6,0,142,31
Macaca leonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.81063957,2.889601189,10.22560882,21.17711264,NA,NA,NA,NA,NA,NA,NA,NA,13.28587309,3.525262043,8.020893146,21.474794,NA,NA,NA,NA,0,0,0,0,0,66,0,0,41,0
Macaca mulatta,18.10682094,0.529772889,17.06430262,19.15501346,NA,NA,NA,NA,NA,NA,NA,NA,25.87354299,3.947950785,18.42286487,33.71042507,NA,NA,NA,NA,14.24130163,0.703058916,12.9545563,15.66300209,NA,NA,NA,NA,NA,NA,NA,NA,21.62975639,1.971348319,18.0316376,25.70297137,NA,NA,NA,NA,1054,17,0,52,4,766,1,0,110,8
Macaca nemestrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97333955,1.183589782,14.95913766,19.50456006,NA,NA,NA,NA,NA,NA,NA,NA,21.83219415,4.177242056,15.01496741,31.23437445,NA,NA,NA,NA,0,0,0,0,0,404,3,0,30,7
Macaca nigra,12.5457063,0.601110898,11.40284071,13.78470711,11.78592527,1.400165663,9.212681742,14.71143777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76957259,0.686463256,10.50139476,13.18263324,NA,NA,NA,NA,NA,NA,NA,NA,7.752849461,0.987653298,6.046078123,9.911880332,NA,NA,NA,NA,429,55,1,6,24,482,18,0,68,1
Macaca silenus,17.6647664,0.63967011,16.48379506,18.97479992,18.78211602,2.549051325,14.16852792,24.27558468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.73101875,0.595629804,13.60507095,15.93698432,NA,NA,NA,NA,NA,NA,NA,NA,15.46689383,1.614836125,12.51006861,18.85484633,NA,NA,NA,NA,578,62,0,19,21,564,28,0,50,11
Macaca sylvanus,13.23301326,0.519239912,12.25309495,14.30714662,16.43441961,1.283602966,14.17183887,19.07326814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.54548097,0.624050978,10.43033428,12.89614848,NA,NA,NA,NA,NA,NA,NA,NA,15.94806582,1.527787723,13.35349828,19.39219912,NA,NA,NA,NA,855,213,0,17,24,781,20,1,240,10
Macaca tonkeana,15.37933389,1.436798354,12.71627253,18.30011917,9.9499713,2.042694288,6.30334067,14.32457053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.81128117,1.110480961,10.74826854,15.0415918,NA,NA,NA,NA,NA,NA,NA,NA,13.36526908,2.13721565,9.368254576,17.76336256,NA,NA,NA,NA,93,37,0,5,0,88,0,0,33,1
Macropus eugenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.603123849,0.2005302,4.229841895,5.00240996,NA,NA,NA,NA,NA,NA,NA,NA,6.889153173,1.307049334,4.780591174,9.846769056,NA,NA,NA,NA,0,0,0,0,0,1007,0,0,36,1
Macropus fuliginosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.122526359,0.382014226,6.428097235,7.917060743,NA,NA,NA,NA,NA,NA,NA,NA,8.454530233,1.110872499,6.574924416,10.92149577,NA,NA,NA,NA,0,0,0,0,0,887,0,0,79,10
Macropus giganteus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.025900318,0.195776663,3.652257174,4.419923637,NA,NA,NA,NA,NA,NA,NA,NA,9.138850607,1.063462538,7.320070193,11.53390564,NA,NA,NA,NA,0,0,0,0,0,1993,0,0,147,5
Macropus parma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.953852345,0.185738863,4.613880829,5.35932636,NA,NA,NA,NA,NA,NA,NA,NA,6.589587028,1.202290961,4.696092064,9.382060653,NA,NA,NA,NA,0,0,0,0,0,1442,0,0,40,17
Macropus robustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.372031939,0.360449987,5.716602918,7.109558455,NA,NA,NA,NA,NA,NA,NA,NA,6.719408295,1.042097366,4.972588832,9.007412391,NA,NA,NA,NA,0,0,0,0,0,560,0,0,33,16
Macropus rufogriseus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.746204939,0.116035181,5.529931467,5.981193739,NA,NA,NA,NA,NA,NA,NA,NA,7.03223099,0.40138633,6.308490702,7.849352461,4.347809465,0.612965724,3.30525079,5.695592877,0,0,0,0,0,6934,0,0,586,65
Macropus rufus,7.006531565,0.10565284,6.798212879,7.211773556,6.713741565,0.931392958,5.121917163,8.778824215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.423208486,0.122906425,5.185697018,5.663209872,NA,NA,NA,NA,NA,NA,NA,NA,6.666488769,0.382158831,5.940946016,7.453707552,NA,NA,NA,NA,4520,39,0,4,21,3879,2,1,242,27
Mephitis mephitis,5.656330459,0.150365643,5.365839537,5.95987399,NA,NA,NA,NA,NA,NA,NA,NA,7.511855486,0.719212455,6.218594713,8.992782769,NA,NA,NA,NA,5.538019358,0.191278943,5.175696308,5.927847029,NA,NA,NA,NA,NA,NA,NA,NA,5.810099509,0.4425133,5.007417822,6.736324462,NA,NA,NA,NA,1015,7,0,41,5,996,4,0,128,12
Mungos mungo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.288758833,0.283300316,8.747458925,9.870821676,NA,NA,NA,NA,NA,NA,NA,NA,9.314771275,1.648911208,6.54593634,12.95754098,NA,NA,NA,NA,0,0,0,0,0,1415,9,0,46,19
Muntiacus reevesi,8.722135698,0.193094124,8.350970838,9.114512812,9.490200735,1.385045158,7.110202603,12.58032072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.989441122,0.23614597,7.543167239,8.456230219,NA,NA,NA,NA,NA,NA,NA,NA,12.85712199,1.430778028,10.27755371,15.9401265,NA,NA,NA,NA,2343,33,1,11,11,2288,13,0,83,24
Mustela nigripes,5.146372154,0.09984293,4.95289126,5.346577481,NA,NA,NA,NA,NA,NA,NA,NA,5.103812803,0.258320518,4.606957096,5.616410674,NA,NA,NA,NA,4.511578332,0.086555119,4.344422632,4.685685774,NA,NA,NA,NA,NA,NA,NA,NA,4.31420222,0.201268813,3.933958683,4.716343739,NA,NA,NA,NA,2502,0,0,56,10,2560,0,0,79,9
Mustela putorius,5.355066129,0.116397045,5.130204317,5.590448346,3.988973511,0.64533152,2.90954267,5.441878264,NA,NA,NA,NA,6.268069283,0.333407301,5.647140902,6.975120371,6.584719168,0.824746329,5.092418394,8.31698703,5.050088829,0.108501397,4.835939739,5.266685966,NA,NA,NA,NA,NA,NA,NA,NA,4.755263312,0.209377436,4.357394282,5.18820665,4.584781923,0.635235943,3.461868156,5.952436375,1824,35,0,229,38,2014,11,0,383,36
Myocastor coypus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.672101052,0.150916324,2.391033069,2.983903641,NA,NA,NA,NA,NA,NA,NA,NA,2.989839033,0.611512543,2.000958442,4.395144794,NA,NA,NA,NA,0,0,0,0,0,710,0,0,41,2
Nasua narica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.835224713,0.522690559,8.856997317,10.91442738,NA,NA,NA,NA,NA,NA,NA,NA,9.667393833,0.965710178,7.946577048,11.74955657,NA,NA,NA,NA,0,0,0,0,0,378,0,0,57,17
Nasua nasua,9.597843278,0.187475866,9.24235705,9.968160391,9.685037392,1.356470375,7.315213816,12.71294106,NA,NA,NA,NA,10.32715863,1.569529922,7.703305657,13.81675607,8.077432037,0.915626926,6.457440806,10.04048404,8.802785036,0.25782233,8.301081179,9.314483401,NA,NA,NA,NA,NA,NA,NA,NA,10.01954014,0.719114238,8.698595704,11.48979984,8.762153308,1.478814325,6.356210172,12.01582625,2776,37,0,40,35,2229,12,0,239,35
Neofelis nebulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Nyctereutes procyonoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.143611854,0.401188659,8.392826797,9.970768903,NA,NA,NA,NA,NA,NA,NA,NA,7.866606475,1.396266099,5.513677758,10.97746179,NA,NA,NA,NA,0,0,0,0,0,519,1,4,35,2
Octodon degus,4.347446973,0.19742402,3.982492396,4.745988128,5.85846261,0.947458,4.288529627,7.990575649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.619307416,0.173999853,3.288752091,3.979039813,NA,NA,NA,NA,NA,NA,NA,NA,3.408082993,0.327952835,2.815074475,4.098623637,NA,NA,NA,NA,807,85,0,2,0,670,0,0,187,6
Odocoileus virginianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.171326264,0.287848032,7.631104933,8.769125496,NA,NA,NA,NA,NA,NA,NA,NA,10.43038042,0.953912596,8.696825754,12.4226304,NA,NA,NA,NA,0,0,0,0,0,2429,0,0,115,5
Oryctolagus cuniculus,4.762093604,0.08974369,4.589870952,4.940960368,NA,NA,NA,NA,NA,NA,NA,NA,6.514542619,0.378912396,5.824265533,7.309558939,6.27615325,0.99036626,4.626713058,8.55871379,5.467443331,0.129351541,5.222088156,5.72432586,NA,NA,NA,NA,NA,NA,NA,NA,6.094603828,0.266965582,5.602327079,6.641752139,4.990912264,0.689673733,3.786308378,6.557058598,4061,1,0,481,37,2762,3,0,831,58
Oryx dammah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.691098156,0.187161915,8.341720368,9.074187225,NA,NA,NA,NA,NA,NA,NA,NA,12.44110423,0.842842438,10.90352399,14.21117917,NA,NA,NA,NA,0,0,0,0,0,3999,6,4,168,21
Oryx gazella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.477000949,0.329249682,7.861284618,9.154719937,NA,NA,NA,NA,NA,NA,NA,NA,11.90675116,1.323355058,9.440389376,14.57429877,NA,NA,NA,NA,0,0,0,0,0,1517,0,1,34,3
Ovis aries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.002804958,0.178928843,7.655935927,8.368785696,NA,NA,NA,NA,NA,NA,NA,NA,10.99708085,0.638168467,9.823730324,12.30160619,15.02509213,1.958430633,11.70871869,19.27752143,0,0,0,0,0,13677,1,8,708,129
Ovis canadensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.303715889,0.268732761,5.790746397,6.856953895,NA,NA,NA,NA,NA,NA,NA,NA,9.76434693,1.183514086,7.672920631,12.29300038,NA,NA,NA,NA,0,0,0,0,0,873,0,0,32,0
Pan paniscus,49.93059063,22.10526175,27.00939316,109.4205769,33.2576469,16.36680085,15.23824922,77.02657042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,30,0,0,13,0,0,0,0,0
